nome,linha,vizinhos;
Tucuruvi,1;,Parada Inglesa;
Parada Inglesa,1;,Tucuruvi;Jardim São Paulo-Ayrton Senna;
Jardim São Paulo-Ayrton Senna,1;,Parada Inglesa;Santana;
Santana,1;,Jardim São Paulo-Ayrton Senna;Carandiru;
Carandiru,1;,Santana;Portuguesa-Tiête;
Portuguesa-Tiête,1;,Carandiru;Armênia;
Armênia,1;,Portuguesa-Tiête;Tiradentes;
Tiradentes,1;,Armênia;Luz;
Luz,1;4;7;11;,Tiradentes;São Bento;Brás;Palmeiras-Barra Funda; República;
São Bento,1;,Luz;Sé;
Sé,1;3;,São Bento;Japão-Liberdade;Pedro II;Anhangabaú;
Japão-Liberdade,1;,Sé;São Joaquim;
São Joaquim,1;,Japão-Liberdade;Vergueiro;
Vergueiro,1;,São Joaquim;Paraíso;
Paraíso,1;2;,Vergueiro;Ana Rosa;Brigadeiro;
Ana Rosa,1;2;,Paraíso;Vila Mariana;Chácara Klabin;
Vila Mariana,1;,Ana Rosa;Santa Cruz;
Santa Cruz,1;5;,Vila Mariana;Praça da Árvore;Hospital São Paulo;Chácara Klabin;
Praça da Árvore,1;,Santa Cruz;Saúde;
Saúde,1;,Praça da Árvore;São Judas;
São Judas,1;,Saúde;Conceição;
Conceição,1;,São Judas;Jabaquara;
Jabaquara,1;,Conceição;
Vila Madalena,2;,Sumaré;
Sumaré,2;,Vila Madalena;Clínicas;
Clínicas,2;,Sumaré;Consolação;
Consolação,2;4;,Clínicas;Trianon-Masp;Higienópolis-Mackenzie;Oscar Freire;
Trianon-Masp,2;,Consolação;Brigadeiro;
Brigadeiro,2;,Trianon-Masp;Ana Rosa;
Chácara Klabin,2;5;,Ana Rosa;Santa Cruz;Santos-Imigrantes;
Santos-Imigrantes,2;,Chácara Klabin;Alto do Ipiranga;
Alto do Ipiranga,2;,Santos-Imigrantes;Sacomã;
Sacomã,2;,Alto do Ipiranga;Tamanduateí;
Tamanduateí,2;10;,Sacomã;Vila Prudente;Ipiranga;São Caetano do Sul;
Vila Prudente,2;15;,Tamanduateí;Oratório;
Palmeiras-Barra Funda,3;7;8;,Marechal Deodoro;Lapa-8;Júlio Prestes;Água Branca;Luz;
Marechal Deodoro,3;,Palmeiras-Barra Funda;Santa Cecília;
Santa Cecília,3;,Marechal Deodoro;República;
República,3;4;,Santa Cecília;Anhangabaú;Luz;Higienópolis-Mackenzie;
Anhangabaú,3;,República;Sé;
Pedro II,3;,Sé;Brás;
Brás,3;7;10;11;12;,Pedro II;Bresser-Mooca;Juventus-Mooca;Luz;Tatuapé;
Bresser-Mooca,3;,Brás;Belém;
Belém,3;,Bresser-Mooca;Tatuapé;
Tatuapé,3;11;12;,Belém;Carrão;Brás;Corinthians-Itaquera;Engenheiro Goulart;
Carrão,3;,Tatuapé;Penha;
Penha,3;,Carrão;Vila Matilde;
Vila Matilde,3;,Penha;Guilhermina Esperança;
Guilhermina Esperança,3;,Vila Matilde;Patriarca-Vila Ré;
